Amulette du Petit Hibou;| Amulette;1;01;11;2021;00;53;57;;168 kamas/u.;29;;;;;
Amulette du Piou Vert;| Amulette;1;01;11;2021;00;54;01;;77 kamas/u.;85;;;;;
Koliet Aclou;| Amulette;1;01;11;2021;00;54;05;;264 kamas/u.;500;;;;;
Amulette du Piou Bleu;| Amulette;1;01;11;2021;00;54;09;;40 kamas/u.;50 000;;;;;
Amulette du Petit Ours;| Amulette;1;01;11;2021;00;54;12;;4543 kamas/u.;48;;;;;
Amulette Tude;| Amulette;1;01;11;2021;00;54;16;;488 kamas/u.;500;;;;;
Amulette de |'Aventurier;| Amulette;1;01;11;2021;00;54;20;;1857 kamas/u.;895;895;895;895;895;895;999;1 197;1 197;1 197;1 197;1 200;1 200;1 200;1 200;2 500;3 200;4 000;4 998;4998;5 000;5 000;5 000;5 000;8 999;9 999;8 999;9 999;10 666;
Amulette du Bouftou;| Amulette;3;01;11;2021;00;54;30;;968 kamas/u.;125;129;140;149;150;150;200;200;200;300;950;999;1 000;1 000;1 000;1 000;1 000;1 000;1 000;1 000;1 100;1 100;1 100;1 100;1 200;1 288;1 297;1 297;1 500;1 500;1 500;1 600;2 000;2 000;2 000;2 000;2 000;2 500;4 000;4 000;4 000;4 500;4 500;5 000;5 000;5 000;5 000;5 000;7 000;7 000;9 000;9 500;9 999;9 999;10 000;12 000;
Amulette en Mousse;| Amulette;11;01;11;2021;00;54;44;;685 kamas/u.;200;300;500;;;
La Chaine Nhanor Kibrill;| Amulette;13;01;11;2021;00;54;48;;2024 kamas/u.;2 500;2 500;;;;
La Veaux Doux;| Amulette;15;01;11;2021;00;54;51;;4997 kamas/u.;3 999;3 999;3 999;5 000;;
Amulette du Moskito;| Amulette;15;01;11;2021;00;54;55;;1230 kamas/u.;6 000;6 000;6 500;6 999;6 999;6 999;6 999;6 999;
Amulette du Bandit;| Amulette;16;01;11;2021;00;55;00;;2194 kamas/u.;1 398;1 399;1 499;1 500;1 500;1 500;1 500;1 500;1 500;2 000;2 900;2 000;2 900;8 500;
Omelette Amulette;| Amulette;17;01;11;2021;00;55;05;;25319 kamas/u.;15 000;;;;;
