Petit Arc de Boisaille;| Arc;;01;11;2021;15;54;09;;511 kamas/u.;;;;;;
Arc de Netamebe;| Arc;28;01;11;2021;15;54;13;;O kamas/u.;15 000;;;;;
Arc en Racine d'Abraknyde;| Arc;28;01;11;2021;15;54;16;;40999 kamas/u.;40 000;;;;;
Arc du Xueluom;| Arc;30;01;11;2021;15;54;20;;25027 kamas/u.;21 000;21 500;22 000;22 500;23 000;23 000;24 500;25 027;
Abrarc;| Arc;39;01;11;2021;15;54;24;;O kamas/u.;16 999;;;;;
Arc Hidsad;| Arc;40;01;11;2021;15;54;28;;75206 kamas/u.;1 000;1 000;1 000;1 000;1 000;1 000;1 000;1 000;
Arc a Poulie Sciée;| Arc;41;01;11;2021;15;54;33;;55555 kamas/u.;60 000;;;;;
Arc de Itauly;| Arc;44;01;11;2021;15;54;36;;O kamas/u.;19 999;;;;;
Arc des Rivages;| Arc;46;01;11;2021;15;54;40;;9999 kamas/u.;10 000;15 000;20 500;22 000;24 750;22 000;24 750;25 000;
Arc de Amphemem;| Arc;49;01;11;2021;15;54;45;;O kamas/u.;30 000;;;;;
Arc de Boo;| Arc;50;01;11;2021;15;54;48;;1316 kamas/u.;800;1 299;;;;
Arc de Elelo;| Arc;55;01;11;2021;15;54;52;;O kamas/u.;10 000;;;;;
Arc de Genolaze;| Arc;57;01;11;2021;15;54;56;;O kamas/u.;19 999;;;;;
Arc de Thelule;| Arc;59;01;11;2021;15;54;59;;O kamas/u.;30 000;;;;;
Arc du Koalak;| Arc;61;01;11;2021;15;55;03;;6703 kamas/u.;4 000;4 500;4 999;5 000;5 000;
Arc du Icumaba;| Arc;69;01;11;2021;15;55;07;;50000 kamas/u.;50 000;;;;;
Arc Ko'Neun';| Arc;70;01;11;2021;15;55;11;;70000 kamas/u.;55 000;;;;;
Arc de Ekejuneh;| Arc;84;01;11;2021;15;55;14;;O kamas/u.;39 999;;;;;
Arc de Ufloruxe;| Arc;90;01;11;2021;15;55;18;;O kamas/u.;150 000;;;;;
Arc Anum;| Arc;96;01;11;2021;15;55;22;;199260 kamas/u.;200 000;;;;;
Arc Assin;| Arc;107;01;11;2021;15;55;25;;406175 kamas/u.;200 000;349 999;;;;
Arc du Lompur;| Arc;111;01;11;2021;15;55;30;;O kamas/u.;500 000;;;;;
Arc de Olalo;| Arc;114;01;11;2021;15;55;33;;170227 kamas/u.;500 000;;;;;
Arc de Vulevume;| Arc;114;01;11;2021;15;55;37;;O kamas/u.;100 000;;;;;
Arc de Misolet;| Arc;116;01;11;2021;15;55;41;;O kamas/u.;40 000;;;;;
Arc de Ohesato;| Arc;120;01;11;2021;15;55;44;;O kamas/u.;123 000;;;;;
Arc de Blabaul;| Arc;121;01;11;2021;15;55;48;;O kamas/u.;100 000;;;;;
Arc du Dragoeuf;| Arc;122;01;11;2021;15;55;52;;687616 kamas/u.;1 350 000;1 400 000;1 500 000;1 599 999;;
Jakchir Arc;| Arc;124;01;11;2021;15;55;56;;303580 kamas/u.;1 000 000;;;;;
Arc de Uheud;| Arc;125;01;11;2021;15;55;59;;252692 kamas/u.;201 212;;;;;
Arc de Uheud;| Arc;125;01;11;2021;15;56;03;;252692 kamas/u.;201 212;;;;;
Arc de Mesoleme;| Arc;127;01;11;2021;15;56;07;;O kamas/u.;130 000;;;;;
Arc de Afesifru;| Arc;129;01;11;2021;15;56;11;;300000 kamas/u.;400 000;;;;;
Arc Chtelion;| Arc;129;01;11;2021;15;56;15;;598878 kamas/u.;579 999;;;;;
Arc de Euteuvot;| Arc;129;01;11;2021;15;56;18;;239999 kamas/u.;239 999;;;;;
Arc de Ousoru;| Arc;132;01;11;2021;15;56;22;;O kamas/u.;300 000;;;;;
Arc du Eceda;| Arc;134;01;11;2021;15;56;25;;O kamas/u.;1 499 999;;;;;
Arc du Aopeteze;| Arc;142;01;11;2021;15;56;29;;O kamas/u.;499 999;;;;;
Arc Hisedaisange;| Arc;143;01;11;2021;15;56;32;;1260948 kamas/u.;a;5 999 999;49 999 999;;;
Arc de Avona;| Arc;143;01;11;2021;15;56;36;;120000 kamas/u.;120 000;;;;;
Arc de Baurev;| Arc;146;01;11;2021;15;56;39;;O kamas/u.;1 000 000;;;;;
Arc a Chon;| Arc;151;01;11;2021;15;56;43;;583494 kamas/u.;2 800 000;;;;;
Baguette de Boisaille;| Baguette;2;01;11;2021;15;56;51;;436 kamas/u.;4 500;;;;;
Grande Baguette de Boisaille;| Baguette;4;01;11;2021;15;56;55;;133 kamas/u.;50;;;;;
Puissante Baguette de Boisaille;| Baguette;5;01;11;2021;15;56;58;;4933 kamas/u.;3 699;;;;;
Baguette Srafdar;| Baguette;12;01;11;2021;15;57;02;;1511 kamas/u.;1 500;;;;;
Grande Baguette de Glace;| Baguette;14;01;11;2021;15;57;06;;27500 kamas/u.;22 000;;;;;
Baguette du Tofu;| Baguette;25;01;11;2021;15;57;10;;6113 kamas/u.;2 000;;;;;
Baguette Flefi;| Baguette;30;01;11;2021;15;57;14;;O kamas/u.;3 500;;;;;
