Rune Ré Per Neutre;‘Rune de forgemagie;10;01;13;2021;05;13;15;;3102 kamas/u.;4 499;34 454;310 000
Rune Cha;‘Rune de forgemagie;10;01;13;2021;05;13;18;;80 kamas/u.;;997;6 499
Rune Re Neutre;‘Rune de forgemagie;10;01;13;2021;05;13;20;;577 kamas/u.;699;6 888;57 998
Rune Sa;‘Rune de forgemagie;10;01;13;2021;05;13;24;;49 kamas/u.;Phe};249;4 699
Rune Ré Feu;‘Rune de forgemagie;10;01;13;2021;05;13;26;;53 kamas/u.;109;600;3 200
Rune de chasse;‘Rune de forgemagie;10;01;13;2021;05;13;29;;434 kamas/u.;;5 000;49 999
Rune Ré Per Feu;‘Rune de forgemagie;10;01;13;2021;05;13;32;;2350 kamas/u.;2 404;30 000;199 999
Rune Ine;‘Rune de forgemagie;10;01;13;2021;05;13;35;;42 kamas/u.;100;696;4 287
Rune Ré Air;‘Rune de forgemagie;10;01;13;2021;05;13;38;;23 kamas/u.;10;583;2 500
Rune Ré Per Air;‘Rune de forgemagie;10;01;13;2021;05;13;41;;979 kamas/u.;900;8 800;85 000
Rune Vi;‘Rune de forgemagie;10;01;13;2021;05;13;44;;125 kamas/u.;149;1 998;12 500
Rune Ré Per Eau;‘Rune de forgemagie;10;01;13;2021;05;13;46;;992 kamas/u.;890;8 499;99 997
Rune Re Eau;‘Rune de forgemagie;10;01;13;2021;05;13;50;;402 kamas/u.;699;4 500;37 995
Rune Fo;‘Rune de forgemagie;10;01;13;2021;05;13;52;;34 kamas/u.;49;367;3 499
Rune Ini;‘Rune de forgemagie;10;01;13;2021;05;13;55;;84 kamas/u.;190;3 437;8 000
Rune Ré Per Terre;‘Rune de forgemagie;10;01;13;2021;05;13;58;;830 kamas/u.;1 000;12 000;77 499
Rune Age;‘Rune de forgemagie;10;01;13;2021;05;14;01;;56 kamas/u.;rv;449;4 899
Rune Ré Terre;‘Rune de forgemagie;10;01;13;2021;05;14;03;;89 kamas/u.;aml;1 500;8 996
Rune Prospe;‘Rune de forgemagie;10;01;13;2021;05;14;07;;1325 kamas/u.;4999;;130 000
Rune Po;‘Rune de forgemagie;20;01;13;2021;05;14;09;;11594 kamas/u.;13 399;112 996;1179 999
Rune Invo;‘Rune de forgemagie;20;01;13;2021;05;14;12;;713 kamas/u.;1 996;7999;61 999
Rune Pi Per;‘Rune de forgemagie;20;01;13;2021;05;14;15;;325 kamas/u.;365;5 997;55 453
Rune So;‘Rune de forgemagie;20;01;13;2021;05;14;18;;7844 kamas/u.;6 899;68 500;839 999
Rune Pod;‘Rune de forgemagie;20;01;13;2021;05;14;21;;29 kamas/u.;re;165;2 989
Rune Pa Vi;‘Rune de forgemagie;20;01;13;2021;05;14;24;;1731 kamas/u.;1 743;17 995;172 000
Rune Do;‘Rune de forgemagie;20;01;13;2021;05;14;27;;650 kamas/u.;aA.);6 799;60 000
Rune Pa Age;‘Rune de forgemagie;20;01;13;2021;05;14;29;;381 kamas/u.;348;;38 000
Rune Pa Ini;‘Rune de forgemagie;20;01;13;2021;05;14;33;;2986 kamas/u.;3 700;38 500;279 998
Rune Do Per;‘Rune de forgemagie;20;01;13;2021;05;14;35;;102 kamas/u.;80;2 500;8 998
Rune Pa Prospe;‘Rune de forgemagie;20;01;13;2021;05;14;38;;9821 kamas/u.;10 999;97 999;970 000
Rune Pa Fo;‘Rune de forgemagie;20;01;13;2021;05;14;41;;241 kamas/u.;250;2 500;24 898
Rune Pa Cha;‘Rune de forgemagie;20;01;13;2021;05;14;44;;547 kamas/u.;789;5 888;54 799
Rune Pa Sa;‘Rune de forgemagie;20;01;13;2021;05;14;46;;2319 kamas/u.;1 999;23 979;230 993
Rune Pa Ine;‘Rune de forgemagie;20;01;13;2021;05;14;50;;515 kamas/u.;1 589;12 997;50 550
Rune Do Ren;‘Rune de forgemagie;20;01;13;2021;05;14;52;;2850 kamas/u.;2555;28 199;199 999
Rune Pi;‘Rune de forgemagie;20;01;13;2021;05;14;55;;3938 kamas/u.;5 995;48 889;399 998
Rune Cri;‘Rune de forgemagie;20;01;13;2021;05;14;58;;3919 kamas/u.;eel;37 999;469 999
Rune Pa Pi Per;‘Rune de forgemagie;20;01;13;2021;05;15;01;;3779 kamas/u.;3 950;30 000;599 999
Rune Ra Sa;‘Rune de forgemagie;30;01;13;2021;05;15;04;;31416 kamas/u.;29 945;299 998;3 999 998
Rune Pa Pod;‘Rune de forgemagie;30;01;13;2021;05;15;07;;35 kamas/u.;so};1 330;3191
Rune Ra Ine;‘Rune de forgemagie;30;01;13;2021;05;15;10;;9588 kamas/u.;9 499;114 892;899 996
Rune Pa Do Per;‘Rune de forgemagie;30;01;13;2021;05;15;13;;6748 kamas/u.;5 000;54 999;698 997
Rune Ra Pod;‘Rune de forgemagie;30;01;13;2021;05;15;16;;2369 kamas/u.;2 200;14 999;196 999
Rune Ra Age;‘Rune de forgemagie;30;01;13;2021;05;15;19;;1288 kamas/u.;1 200;13 331;115 000
Rune Ra Ini;‘Rune de forgemagie;30;01;13;2021;05;15;21;;73957 kamas/u.;66 997;672 202;6 999 998
Rune Ra Cha;‘Rune de forgemagie;30;01;13;2021;05;15;24;;9377 kamas/u.;8 950;84 999;998 000
Rune Ra Vi;‘Rune de forgemagie;30;01;13;2021;05;15;27;;13545 kamas/u.;29 996;193 992;2 399 993
Rune Ra Do Per;‘Rune de forgemagie;30;01;13;2021;05;15;29;;41869 kamas/u.;99 000;;
Rune Ra Fo;‘Rune de forgemagie;30;01;13;2021;05;15;32;;9070 kamas/u.;Shes;93 199;849 998
Rune Ga Pme;‘Rune de forgemagie;50;01;13;2021;05;15;35;;196952 kamas/u.;198 000;1 998 998;22 999 999
Rune Ga Pa;‘Rune de forgemagie;50;01;13;2021;05;15;37;;617772 kamas/u.;627 997;6 338 886;63 999 998
