Lingot d'Or;Alliage;10;01;14;2021;14;21;43;;2878 kamas/u.;2 895;28 500;300 000
Aluminite;Alliage;10;01;14;2021;14;21;46;;93 kamas/u.;i]s);2 049;10 999
Ebonite;Alliage;20;01;14;2021;14;21;50;;4365 kamas/u.;4 875;42 900;426 000
Magnésite;Alliage;30;01;14;2021;14;21;54;;1486 kamas/u.;2 400;14 998;147 998
Bakélélite;Alliage;40;01;14;2021;14;21;58;;369 kamas/u.;746;3 600;62 998
_Kriptonite;Alliage;80;01;14;2021;14;22;01;;600 kamas/u.;429;5 997;61 000
Kobalite;Alliage;100;01;14;2021;14;22;05;;6711 kamas/u.;6 600;64 999;830 000
Rutile;Alliage;100;01;14;2021;14;22;09;;101237 kamas/u.;108 988;999 000;
Rutile;Alliage;100;01;14;2021;14;22;12;;101237 kamas/u.;108 988;999 000;
Pyrute;Alliage;100;01;14;2021;14;22;16;;139659 kamas/u.;144 999;1 497 894;
;Alliage;100;01;14;2021;14;22;19;;139659 kamas/u.;144 999;1 497 894;
;Alliage;100;01;14;2021;14;22;23;;139659 kamas/u.;144 999;1 497 894;
Fer;Minerai;1;01;14;2021;14;22;29;;72 kamas/u.;79;2 801;8 000
Charbon;Minerai;1;01;14;2021;14;22;33;;684 kamas/u.;850;8 497;59 888
Cuivre;Minerai;10;01;14;2021;14;22;36;;248 kamas/u.;198;3 888;25 000
Charbon;Minerai;1;01;14;2021;14;22;40;;684 kamas/u.;850;8 497;59 888
Cuivre;Minerai;10;01;14;2021;14;22;44;;248 kamas/u.;198;3 888;25 000
Bronze;Minerai;20;01;14;2021;14;22;48;;24 kamas/u.;;1 500;2 000
Minerai Etrange;Minerai;24;01;14;2021;14;22;52;;185 kamas/u.;38;849;8 839
Kobalte;Minerai;30;01;14;2021;14;22;56;;1521 kamas/u.;1599;16 000;159 989
| Etain;Minerai;50;01;14;2021;14;22;59;;107 kamas/u.;1 200;;9 999
Argent;Minerai;60;01;14;2021;14;23;03;;235 kamas/u.;298;3 996;21799
Silicate;Minerai;70;01;14;2021;14;23;07;;260 kamas/u.;;4 999;25 666
Silicate;Minerai;70;01;14;2021;14;23;10;;260 kamas/u.;;4 999;25 666
Bauxite;Minerai;70;01;14;2021;14;23;14;;199 kamas/u.;199;1999;19 900
;Minerai;80;01;14;2021;14;23;17;;175 kamas/u.;199;2 999;16 999
Dolomite;Minerai;80;01;14;2021;14;23;21;;5065 kamas/u.;5 000;77999;489 000
Pierre a Aiguiser;Pierre brute;1;01;14;2021;14;23;27;;1710 kamas/u.;2 399;19 999;195 000
Piece du Puzzle de la Griffe;Pierre brute;12;01;14;2021;14;23;31;;73 kamas/u.;20;498;6 899
Nacre brute;Pierre brute;20;01;14;2021;14;23;34;;3298 kamas/u.;eyA}:};34 000;377 997
Silex;Pierre brute;22;01;14;2021;14;23;39;;11 kamas/u.;;45;1 390
Pierre de Rubis;Pierre brute;30;01;14;2021;14;23;43;;1056 kamas/u.;999;12 899;119 999
