Manuel du Tailleur;Document;1;01;15;2021;11;04;50;;458 kamas/u.;i]s);5 000;799 999
Se faire des Amis et les garder;Document;1;01;15;2021;11;04;54;;889 kamas/u.;100;;
Le Temps des Dragons - Fragments Retrouv;Document;1;01;15;2021;11;04;57;;983 kamas/u.;983;;
Le manuel de la parfaite recrue brakmarienn;Document;1;01;15;2021;11;05;02;;1 kamas/u.;25;;
Parchemin "Pointer du doigt";Document;1;01;15;2021;11;05;05;;8341 kamas/u.;6 599;;
Livre du Bwork Mage;Document;1;01;15;2021;11;05;09;;306 kamas/u.;18;;5 000
Parchemin Vent de panique;Document;1;01;15;2021;11;05;12;;2968 kamas/u.;2 900;;
La Dragoune Rose : Bien I'élever;Document;1;01;15;2021;11;05;15;;2000 kamas/u.;299;;
La Dragoune Rose : Bien I'élever;Document;1;01;15;2021;11;05;19;;2000 kamas/u.;299;;
Les secrets du langage écureuil;Document;1;01;15;2021;11;05;22;;36948 kamas/u.;9 999;;
;Document;1;01;15;2021;11;05;26;;36948 kamas/u.;9 999;;
;Document;1;01;15;2021;11;05;29;;36948 kamas/u.;9 999;;
Sort Maitrise de l'Epée;Maitrise;20;01;15;2021;11;05;37;;12690 kamas/u.;19 000;;
Sort Maitrise de la Baguette;Maitrise;20;01;15;2021;11;05;41;;1288 kamas/u.;1199;;
Sort Maitrise de |'Arc;Maitrise;20;01;15;2021;11;05;44;;1557 kamas/u.;1190;;
Sort Maitrise des Dagues;Maitrise;20;01;15;2021;11;05;49;;961 kamas/u.;949;10 293;
Sort Maitrise du Marteau;Maitrise;20;01;15;2021;11;05;52;;4343 kamas/u.;2 899;;
Sort Maitrise de la Hache;Maitrise;20;01;15;2021;11;05;55;;2456 kamas/u.;1 500;;
Sort Maitrise de la Pelle;Maitrise;20;01;15;2021;11;05;59;;1106 kamas/u.;1100;;
;Maitrise;20;01;15;2021;11;06;02;;1106 kamas/u.;1 100;;
;Maitrise;20;01;15;2021;11;06;05;;1106 kamas/u.;1100;;
;Maitrise;20;01;15;2021;11;06;09;;1106 kamas/u.;1 100;;
;Maitrise;20;01;15;2021;11;06;12;;1106 kamas/u.;1100;;
;Maitrise;20;01;15;2021;11;06;15;;1106 kamas/u.;1 100;;
Parchemin de Sculpteur de batons;Parchemin d'expérience;1;01;15;2021;11;06;23;;5484 kamas/u.;2 997;39 992;558 989
Parchemin de Forgemage de Pelles;Parchemin d'expérience;1;01;15;2021;11;06;27;;497 kamas/u.;300;3 999;45 999
Parchemin de Poissonnier;Parchemin d'expérience;1;01;15;2021;11;06;31;;3436 kamas/u.;2 999;59 999;999 888
Parchemin de Forgemage d'Epées;Parchemin d'expérience;1;01;15;2021;11;06;35;;6473 kamas/u.;6 511;65 888;
Parchemin de Forgeur de Haches;Parchemin d'expérience;1;01;15;2021;11;06;39;;3936 kamas/u.;1 700;34 900;199 998
Parchemin de Chasseur;Parchemin d'expérience;1;01;15;2021;11;06;42;;10982 kamas/u.;10 000;;
Parchemin de Bijoutier;Parchemin d'expérience;1;01;15;2021;11;06;46;;4527 kamas/u.;4 497;43 994;409 998
Parchemin de Sculpteur de baguettes;Parchemin d'expérience;1;01;15;2021;11;06;50;;2224 kamas/u.;1 500;17 499;233 331
Parchemin de Sculptemage de Batons;Parchemin d'expérience;1;01;15;2021;11;06;53;;7290 kamas/u.;30 000;;
Parchemin de Bucheron;Parchemin d'expérience;1;01;15;2021;11;06;57;;3964 kamas/u.;3778;50 999;398 000
Parchemin de Tailleur;Parchemin d'expérience;1;01;15;2021;11;07;01;;17597 kamas/u.;17 490;147 999;1 849 959
Parchemin de Forgeur d'épée;Parchemin d'expérience;1;01;15;2021;11;07;04;;2598 kamas/u.;2 200;32 930;278 888
Parchemin de Cordomage;Parchemin d'expérience;1;01;15;2021;11;07;08;;7184 kamas/u.;2 998;112 000;
Parchemin de Forgemage de Haches;Parchemin d'expérience;1;01;15;2021;11;07;12;;3766 kamas/u.;10 000;;
Parchemin de Joaillomage;Parchemin d'expérience;1;01;15;2021;11;07;15;;12751 kamas/u.;10 000;149 000;
Parchemin de Sculptemage de Baguettes;Parchemin d'expérience;1;01;15;2021;11;07;20;;6819 kamas/u.;10 900;;
Parchemin de Costumage;Parchemin d'expérience;1;01;15;2021;11;07;23;;9744 kamas/u.;6 099;;699 999
Parchemin de Forgeur de dagues;Parchemin d'expérience;1;01;15;2021;11;07;27;;8688 kamas/u.;isyielele);74 996;1699 999
Parchemin de Forgeur de Boucliers;Parchemin d'expérience;1;01;15;2021;11;07;31;;7518 kamas/u.;6 499;88 999;
Parchemin Blanc;Parchemin d'expérience;1;01;15;2021;11;07;34;;115 kamas/u.;oe;1190;11 000
Parchemin de Boucher;Parchemin d'expérience;1;01;15;2021;11;07;38;;4703 kamas/u.;4 998;;470 000
Parchemin de Boulanger;Parchemin d'expérience;1;01;15;2021;11;07;42;;1166 kamas/u.;500;12 900;199 999
Parchemin de Forgemage de Dagues;Parchemin d'expérience;1;01;15;2021;11;07;45;;7412 kamas/u.;6 699;85 000;
Parchemin d'Alchimiste;Parchemin d'expérience;1;01;15;2021;11;07;49;;1985 kamas/u.;999;10 000;
Parchemin de Forgemage de Dagues;Parchemin d'expérience;1;01;15;2021;11;07;53;;7412 kamas/u.;6 699;85 000;
Parchemin d'Alchimiste;Parchemin d'expérience;1;01;15;2021;11;07;57;;1985 kamas/u.;999;10 000;
Parchemin de Sculpteur d'arcs;Parchemin d'expérience;1;01;15;2021;11;08;00;;25805 kamas/u.;19 990;199 999;2 999 999
Parchemin de Forgeur de Pelles;Parchemin d'expérience;1;01;15;2021;11;08;05;;3275 kamas/u.;2 000;31999;398 999
Parchemin de Pécheur;Parchemin d'expérience;1;01;15;2021;11;08;08;;70524 kamas/u.;74 500;889 998;7 499 999
Parchemin de Bricoleur;Parchemin d'expérience;1;01;15;2021;11;08;11;;4040 kamas/u.;3 400;39 799;411 110
