Coupe Cuir;Dague;1;01;19;2021;05;00;09;;3465 kamas/u.;2 000;;;;;
Tailladeuse de Baton;Dague;1;01;19;2021;05;00;14;;357 kamas/u.;300;;;;;
Tailladeuse d'Arc;Dague;1;01;19;2021;05;00;19;;9920 kamas/u.;30 000;;;;;
Tailladeuse de Baguette;Dague;1;01;19;2021;05;00;25;;636 kamas/u.;2 000;;;;;
Sertisseur du Joaillomage;Dague;1;01;19;2021;05;00;31;;23886 kamas/Uu.;35 000;35 000;60 000;60 000;;
Coupe Cuir du Cordomage;Dague;1;01;19;2021;05;00;36;;23302 kamas/Uu.;30 000;30 000;30 000;;;
Sertisseur;Dague;1;01;19;2021;05;00;41;;1412 kamas/u.;999;;;;;
Dagues de Boisaille;Dague;;01;19;2021;05;00;47;;178 kamas/u.;;;;;;
Grandes Dagues de Boisaille;Dague;6;01;19;2021;05;00;52;;525 kamas/u.;500;;;;;
Grandes Dagues de Fouraille;Dague;12;01;19;2021;05;00;57;;505 kamas/u.;500;;;;;
Dagues du Bandit;Dague;12;01;19;2021;05;01;02;;2741 kamas/u.;1 499;1 499;1 500;1 500;2 000;
Puissantes Dagues de Fouraille;Dague;13;01;19;2021;05;01;08;;1699 kamas/u.;1 500;;;;;
Dagues Sylvestres;Dague;23;01;19;2021;05;01;14;;3253 kamas/u.;5 000;5 000;5 000;;;
Queues de Chatons;Dague;25;01;19;2021;05;01;19;;10177 kamas/u.;3 800;3 800;7 000;;;
Grandes Dagues Sylvestres;Dague;25;01;19;2021;05;01;24;;24910 kamas/u.;4 000;4 000;4 999;4999;;
Dague de Usurnef;Dague;30;01;19;2021;05;01;29;;0 kamas/u.;5 000;;;;;
Dague du Elyvone;Dague;31;01;19;2021;05;01;35;;0 kamas/u.;10 000;;;;;
Dague de Matubus;Dague;34;01;19;2021;05;01;40;;0 kamas/u.;5 000;;;;;
Couteau a Stek;Dague;35;01;19;2021;05;01;46;;19985 kamas/u.;17 000;18 500;19 999;19 999;20 000;19 999;20 000;21 000;
Dague du Ezavesi;Dague;37;01;19;2021;05;01;51;;0 kamas/u.;5 000;;;;;
Dague du Blufago;Dague;39;01;19;2021;05;01;56;;4000 kamas/u.;4 500;;;;;
Dagues Cruelles d'Elorie Entuwan;Dague;40;01;19;2021;05;02;02;;27828 kamas/u.;9 999;9 999;9 999;9 999;9 999;10 000;12 000;21 000;21 000;25 000;30 000;
Dague du Alitose;Dague;46;01;19;2021;05;02;08;;10000 kamas/u.;10 000;;;;;
Dagues Eurfolles;Dague;46;01;19;2021;05;02;13;;236400 kamas/u.;500 000;680 000;690 000;700 000;;
Dague de Trasesu;Dague;50;01;19;2021;05;02;19;;10000 kamas/u.;5 755;;;;;
Dague Hi'Mov';Dague;50;01;19;2021;05;02;24;;119283 kamas/u.;119 233;;;;;
Dague du Edofu;Dague;51;01;19;2021;05;02;29;;0 kamas/u.;10 000;;;;;
Dague du Erudro;Dague;55;01;19;2021;05;02;35;;0 kamas/u.;20 000;;;;;
Puissante lame de Fon;Dague;56;01;19;2021;05;02;40;;0 kamas/u.;60 000;;;;;
Dague de Egexeme;Dague;58;01;19;2021;05;02;45;;0 kamas/u.;40 000;;;;;
Blessdags;Dague;64;01;19;2021;05;02;51;;364847 kamas/u.;30 000;30 000;70 000;80 000;80 000;80 000;80 000;85 000;600 000;900 000;1 500 000;900 000;1 500 000;2 000 000;
Dague de llifa;Dague;65;01;19;2021;05;02;57;;0 kamas/u.;25 000;;;;;
Dague de Uladise;Dague;70;01;19;2021;05;03;02;;0 kamas/u.;20 000;;;;;
Dague de Unorare;Dague;72;01;19;2021;05;03;08;;0 kamas/u.;30 000;;;;;
Chakra Style;Dague;73;01;19;2021;05;03;13;;191779 kamas/u.;400 000;430 000;;;;
Lames Sanglantes D'Ortimus Contrari;Dague;80;01;19;2021;05;03;18;;136733 kamas/u.;300 000;;;;;
Daguette du Captain Chafer;Dague;83;01;19;2021;05;03;24;;51493 kamas/u.;200 000;250 000;785 000;;;
Dague Lutination;Dague;90;01;19;2021;05;03;29;;176826 kamas/u.;999 999;;;;;
Dague de Olabab;Dague;91;01;19;2021;05;03;34;;0 kamas/u.;120 000;150 000;;;;
Dague de Isuhaille;Dague;96;01;19;2021;05;03;40;;0 kamas/u.;200 000;;;;;
Dagues Maydhyn China;Dague;100;01;19;2021;05;03;45;;227000 kamas/u.;500 000;740 000;750 000;800 000;800 000;800 000;875 000;900 000;
Dague de Eozub;Dague;102;01;19;2021;05;03;51;;29977 kamas/u.;100 000;;;;;
Dague de Sedum;Dague;103;01;19;2021;05;03;56;;181749 kamas/u.;319 999;;;;;
Dagues du Rat Noir;Dague;108;01;19;2021;05;04;01;;193318 kamas/u.;200 000;;;;;
Dagues de |'Apprenti Tueur de Bouftons;Dague;113;01;19;2021;05;04;07;;292959 kamas/u.;700 000;1 200 000;;;;
Dagues Rhumes;Dague;113;01;19;2021;05;04;12;;1089244 kamas/u.;2 000 000;2 400 000;2 400 000;;;
Dague de Thorekeruh;Dague;115;01;19;2021;05;04;17;;0 kamas/u.;40 000;;;;;
Dague de Themeb;Dague;117;01;19;2021;05;04;23;;0 kamas/u.;400 000;;;;;
Dague du Etememuv;Dague;120;01;19;2021;05;04;28;;597757 kamas/u.;999 080;;;;;
Dague Régah;Dague;120;01;19;2021;05;04;33;;588581 kamas/u.;750 000;999 999;;;;
Dagues R'Hoh;Dague;121;01;19;2021;05;04;38;;966614 kamas/u.;999 999;2 500 000;;;;
Dague de Aruri;Dague;121;01;19;2021;05;04;44;;25000 kamas/u.;1 500 000;;;;;
Dague de Furufam;Dague;125;01;19;2021;05;04;49;;0 kamas/u.;499 000;;;;;
Dague de Usovl;Dague;126;01;19;2021;05;04;55;;500000 kamas/u.;1 200 000;;;;;
Sertisseur de Ramougre;Dague;127;01;19;2021;05;05;00;;563851 kamas/u.;430 000;450 000;600 000;600 000;649 999;600 000;649 999;1 500 000;
Dagues du Dragoeuf;Dague;128;01;19;2021;05;05;06;;710618 kamas/u.;750 000;999 999;1 200 000;;;
Dague de Ugatode;Dague;130;01;19;2021;05;05;11;;79932 kamas/u.;200 000;;;;;
Dague de Mangapa;Dague;133;01;19;2021;05;05;17;;301069 kamas/u.;800 000;;;;;
Les Dagues du Bouwin;Dague;135;01;19;2021;05;05;22;;701371 kamas/u.;1 200 000;1 250 000;;;;
Dague de Etaemuie;Dague;136;01;19;2021;05;05;27;;999999 kamas/u.;1 050 000;;;;;
Dague de Thufam;Dague;136;01;19;2021;05;05;33;;0 kamas/u.;250 000;;;;;
Dague du Dutok;Dague;140;01;19;2021;05;05;38;;0 kamas/u.;399 999;;;;;
Dague du Flalevru;Dague;141;01;19;2021;05;05;43;;1750000 kamas/u.;1 250 000;;;;;
